date,< 2022-03-01,≥ 2022-06-01,≥ 2022-09-01,≥ 2022-12-01,≥ 2023-03-01,≥ 2023-06-01,≥ 2023-09-01,≥ 2023-12-01,≥ 2024-03-01,≥ 2024-06-01,≥ 2024-09-01,≥ 2024-12-01
2022-02-14,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976
2022-02-15,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178
2022-02-16,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442
2022-02-23,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553
2022-02-23,2551,2551,2551,2551,2551,2551,2551,2551,2551,2551,2551,2551
2022-02-24,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655
2022-03-01,2807,3197,3197,3197,3197,3197,3197,3197,3197,3197,3197,3197
2022-03-01,2793,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
2022-03-02,2719,3493,3493,3493,3493,3493,3493,3493,3493,3493,3493,3493
2022-03-04,2717,3829,3829,3829,3829,3829,3829,3829,3829,3829,3829,3829
2022-03-08,2582,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318
2022-03-10,2452,5510,5510,5510,5510,5510,5510,5510,5510,5510,5510,5510
2022-03-14,2421,5501,5501,5501,5501,5501,5501,5501,5501,5501,5501,5501
2022-03-14,2419,5503,5503,5503,5503,5503,5503,5503,5503,5503,5503,5503
2022-03-18,2307,5342,5342,5342,5342,5342,5342,5342,5342,5342,5342,5342
2022-03-22,2277,5471,5471,5471,5471,5471,5471,5471,5471,5471,5471,5471
2022-03-25,2267,6450,6450,6450,6450,6450,6450,6450,6450,6450,6450,6450
2022-04-02,1448,7728,7728,7728,7728,7728,7728,7728,7728,7728,7728,7728
2022-04-02,1448,7730,7730,7730,7730,7730,7730,7730,7730,7730,7730,7730
2022-04-03,1448,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770
2022-04-07,1411,8805,8805,8805,8805,8805,8805,8805,8805,8805,8805,8805
2022-04-07,1411,8856,8856,8856,8856,8856,8856,8856,8856,8856,8856,8856
2022-04-08,1352,9018,9018,9018,9018,9018,9018,9018,9018,9018,9018,9018
2022-05-07,1139,9697,9697,9697,9697,9697,9697,9697,9697,9697,9697,9697
2022-05-09,1134,9697,9697,9697,9697,9697,9697,9697,9697,9697,9697,9697
2022-05-12,1134,9687,9687,9687,9687,9687,9687,9687,9687,9687,9687,9687
2022-05-25,1134,9706,9706,9706,9706,9706,9706,9706,9706,9706,9706,9706
2022-05-28,1133,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405
2022-05-29,1133,10758,10758,10758,10758,10758,10758,10758,10758,10758,10758,10758
2022-06-01,1133,10756,11171,11171,11171,11171,11171,11171,11171,11171,11171,11171
2022-06-03,1132,10737,11305,11305,11305,11305,11305,11305,11305,11305,11305,11305
2022-06-09,1080,10221,11761,11761,11761,11761,11761,11761,11761,11761,11761,11761
2022-06-14,1079,9903,14763,14763,14763,14763,14763,14763,14763,14763,14763,14763
2022-06-27,1079,9792,15042,15042,15042,15042,15042,15042,15042,15042,15042,15042
2022-07-04,1078,9735,15945,15945,15945,15945,15945,15945,15945,15945,15945,15945
2022-07-11,1002,9439,16468,16468,16468,16468,16468,16468,16468,16468,16468,16468
2022-07-19,999,9431,17169,17169,17169,17169,17169,17169,17169,17169,17169,17169
2022-07-19,999,9429,17310,17310,17310,17310,17310,17310,17310,17310,17310,17310
2022-07-26,999,9426,17324,17324,17324,17324,17324,17324,17324,17324,17324,17324
2022-08-02,997,9375,17369,17369,17369,17369,17369,17369,17369,17369,17369,17369
2022-08-12,994,9030,17724,17724,17724,17724,17724,17724,17724,17724,17724,17724
2022-08-17,984,8633,19547,19547,19547,19547,19547,19547,19547,19547,19547,19547
2022-08-22,981,8624,20016,20016,20016,20016,20016,20016,20016,20016,20016,20016
2022-08-28,891,7803,22006,22006,22006,22006,22006,22006,22006,22006,22006,22006
2022-08-30,891,7802,22716,22716,22716,22716,22716,22716,22716,22716,22716,22716
2022-09-05,889,7642,24271,25837,25837,25837,25837,25837,25837,25837,25837,25837
2022-09-12,851,6990,21766,28225,28225,28225,28225,28225,28225,28225,28225,28225
2022-09-15,832,6875,20727,28607,28607,28607,28607,28607,28607,28607,28607,28607
