date,< 2022-03-01,≥ 2022-06-01,≥ 2022-09-01,≥ 2022-12-01,≥ 2023-03-01,≥ 2023-06-01,≥ 2023-09-01,≥ 2023-12-01,≥ 2024-03-01,≥ 2024-06-01,≥ 2024-09-01,≥ 2024-12-01
2022-02-14,181,181,181,181,181,181,181,181,181,181,181,181
2022-02-15,276,276,276,276,276,276,276,276,276,276,276,276
2022-02-16,288,288,288,288,288,288,288,288,288,288,288,288
2022-02-23,774,774,774,774,774,774,774,774,774,774,774,774
2022-02-23,780,780,780,780,780,780,780,780,780,780,780,780
2022-02-24,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095
2022-03-01,1239,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253
2022-03-01,1239,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272
2022-03-02,1235,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
2022-03-04,1235,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490
2022-03-08,1232,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
2022-03-10,1228,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683
2022-03-14,1227,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696
2022-03-14,1227,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703
2022-03-18,1224,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714
2022-03-22,1224,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729
2022-03-25,1224,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769
2022-04-02,1217,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332
2022-04-02,1217,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339
2022-04-03,1209,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353
2022-04-07,1208,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524
2022-04-07,1208,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535
2022-04-08,1202,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635
2022-05-07,1187,2848,2848,2848,2848,2848,2848,2848,2848,2848,2848,2848
2022-05-09,1187,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855
2022-05-12,1187,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862
2022-05-25,1187,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890
2022-05-28,1187,3044,3044,3044,3044,3044,3044,3044,3044,3044,3044,3044
2022-05-29,1187,3055,3055,3055,3055,3055,3055,3055,3055,3055,3055,3055
2022-06-01,1183,3027,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220
2022-06-03,1183,3027,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228
2022-06-09,1183,3018,3468,3468,3468,3468,3468,3468,3468,3468,3468,3468
2022-06-14,1183,2982,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750
2022-06-27,1180,2976,3809,3809,3809,3809,3809,3809,3809,3809,3809,3809
2022-07-04,1180,2976,4028,4028,4028,4028,4028,4028,4028,4028,4028,4028
2022-07-11,1154,2925,4574,4574,4574,4574,4574,4574,4574,4574,4574,4574
2022-07-19,1154,2922,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917
2022-07-19,1154,2922,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925
2022-07-26,1154,2922,4943,4943,4943,4943,4943,4943,4943,4943,4943,4943
2022-08-02,1154,2921,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988
2022-08-12,1154,2900,5159,5159,5159,5159,5159,5159,5159,5159,5159,5159
2022-08-17,1150,2889,5418,5418,5418,5418,5418,5418,5418,5418,5418,5418
2022-08-22,1150,2889,5433,5433,5433,5433,5433,5433,5433,5433,5433,5433
2022-08-28,1150,2889,5887,5887,5887,5887,5887,5887,5887,5887,5887,5887
2022-08-30,1150,2889,5903,5903,5903,5903,5903,5903,5903,5903,5903,5903
2022-09-05,1150,2871,6040,6209,6209,6209,6209,6209,6209,6209,6209,6209
2022-09-12,1150,2871,6034,6742,6742,6742,6742,6742,6742,6742,6742,6742
2022-09-15,1150,2870,5994,6992,6992,6992,6992,6992,6992,6992,6992,6992
2022-09-19,1150,2870,5994,7014,7014,7014,7014,7014,7014,7014,7014,7014
2022-09-26,1147,2863,5984,7033,7033,7033,7033,7033,7033,7033,7033,7033
2022-09-26,1147,2863,5984,7046,7046,7046,7046,7046,7046,7046,7046,7046
2022-09-27,1147,2863,5984,7054,7054,7054,7054,7054,7054,7054,7054,7054
2022-10-01,1147,2862,5975,7303,7303,7303,7303,7303,7303,7303,7303,7303
2022-10-01,1147,2862,5975,7312,7312,7312,7312,7312,7312,7312,7312,7312
2022-10-01,1147,2862,5972,7326,7326,7326,7326,7326,7326,7326,7326,7326
2022-10-08,1147,2862,5972,7726,7726,7726,7726,7726,7726,7726,7726,7726
2022-10-11,1147,2862,5972,7765,7765,7765,7765,7765,7765,7765,7765,7765
2022-10-13,1147,2862,5972,7810,7810,7810,7810,7810,7810,7810,7810,7810
2022-10-13,1147,2862,5972,7817,7817,7817,7817,7817,7817,7817,7817,7817
2022-10-15,1147,2862,5972,7833,7833,7833,7833,7833,7833,7833,7833,7833
2022-10-24,1147,2862,5972,7846,7846,7846,7846,7846,7846,7846,7846,7846
2022-10-25,1147,2862,5972,7853,7853,7853,7853,7853,7853,7853,7853,7853
2022-10-31,1145,2860,5969,7865,7865,7865,7865,7865,7865,7865,7865,7865
2022-11-13,1145,2854,5952,7954,7954,7954,7954,7954,7954,7954,7954,7954
2022-11-17,1145,2854,5952,8108,8108,8108,8108,8108,8108,8108,8108,8108
2022-11-18,1145,2854,5952,8121,8121,8121,8121,8121,8121,8121,8121,8121
2022-11-25,1145,2852,5947,8384,8384,8384,8384,8384,8384,8384,8384,8384
2022-11-26,1145,2852,5947,8395,8395,8395,8395,8395,8395,8395,8395,8395
2022-11-27,1145,2846,5941,8469,8469,8469,8469,8469,8469,8469,8469,8469
2022-12-04,1145,2846,5930,8471,8491,8491,8491,8491,8491,8491,8491,8491
2022-12-05,1145,2846,5930,8471,8498,8498,8498,8498,8498,8498,8498,8498
