date,< 2022-03-01,≥ 2022-06-01,≥ 2022-09-01,≥ 2022-12-01,≥ 2023-03-01,≥ 2023-06-01,≥ 2023-09-01,≥ 2023-12-01,≥ 2024-03-01,≥ 2024-06-01,≥ 2024-09-01,≥ 2024-12-01
2022-02-14,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407
2022-02-15,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476
2022-02-16,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735
2022-02-23,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783
2022-02-23,1781,1781,1781,1781,1781,1781,1781,1781,1781,1781,1781,1781
2022-02-24,2034,2034,2034,2034,2034,2034,2034,2034,2034,2034,2034,2034
2022-03-01,2175,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543
2022-03-01,2165,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542
2022-03-02,2126,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831
2022-03-04,2126,3161,3161,3161,3161,3161,3161,3161,3161,3161,3161,3161
2022-03-08,1992,3342,3342,3342,3342,3342,3342,3342,3342,3342,3342,3342
2022-03-10,1867,4436,4436,4436,4436,4436,4436,4436,4436,4436,4436,4436
2022-03-14,1837,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415
2022-03-14,1835,4417,4417,4417,4417,4417,4417,4417,4417,4417,4417,4417
2022-03-18,1726,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260
2022-03-22,1696,4310,4310,4310,4310,4310,4310,4310,4310,4310,4310,4310
2022-03-25,1690,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273
2022-04-02,1011,6466,6466,6466,6466,6466,6466,6466,6466,6466,6466,6466
2022-04-02,1011,6468,6468,6468,6468,6468,6468,6468,6468,6468,6468,6468
2022-04-03,1011,6507,6507,6507,6507,6507,6507,6507,6507,6507,6507,6507
2022-04-07,974,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299
2022-04-07,974,7305,7305,7305,7305,7305,7305,7305,7305,7305,7305,7305
2022-04-08,974,7591,7591,7591,7591,7591,7591,7591,7591,7591,7591,7591
2022-05-07,882,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491
2022-05-09,877,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491
2022-05-12,877,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481
